M_FR_X60-X84_Y870,M_FR,"21,71","21,24"
M_FR_X85-Y09_Y871,M_FR,"0,66","0,65"
M_FR_Y10-Y34_Y872,M_FR,"2,11","1,83"
M_FR_C61,M_FR,"27,69","27,22"
F_FR_A-R_V-Y,F_FR,"864,04","810,56"
F_FR_A15-A19_B90,F_FR,"0,63","0,64"
F_FR_ACC,F_FR,"38,06","33,95"
F_FR_ACC_OTH,F_FR,"20,32","17,95"
F_FR_A_B,F_FR,"17,13","16,19"
F_FR_A_B_OTH,F_FR,"15,39","14,5"
F_FR_B15-B19_B942,F_FR,"0,82","0,75"
F_FR_B20-B24,F_FR,"0,29","0,3"
F_FR_C,F_FR,201,"197,61"
F_FR_C00-C14,F_FR,"2,7","2,5"
F_FR_C00-D48,F_FR,"211,77","207,97"
F_FR_C15,F_FR,"2,54","2,44"
F_FR_C16,F_FR,"4,68",5
F_FR_C18-C21,F_FR,"24,03","23,43"
F_FR_C22,F_FR,"6,83","6,72"
F_FR_C25,F_FR,"15,81","15,04"
F_FR_C32,F_FR,"0,46","0,39"
F_FR_C33_C34,F_FR,"26,73","26,4"
F_FR_C43,F_FR,"2,38","2,37"
F_FR_C50,F_FR,"36,22","35,73"
F_FR_C53,F_FR,"2,23","2,25"
F_FR_C54_C55,F_FR,"8,03","8,05"
F_FR_C56,F_FR,"10,2","10,15"
F_FR_C64,F_FR,"3,7","3,76"
F_FR_C67,F_FR,"3,55","3,66"
F_FR_C70-C72,F_FR,"5,04","4,71"
F_FR_C73,F_FR,"0,7","0,69"
F_FR_C81-C86,F_FR,"6,36","6,23"
F_FR_C88_C90_C96,F_FR,"4,7","4,48"
F_FR_C91-C95,F_FR,"7,8","8,05"
F_FR_C_OTH,F_FR,"26,29","25,55"
F_FR_D00-D48,F_FR,"10,77","10,36"
F_FR_D50-D89,F_FR,"3,66","3,36"
F_FR_E,F_FR,"34,97","31,57"
F_FR_E10-E14,F_FR,"18,21","17,11"
F_FR_E_OTH,F_FR,"16,77","14,46"
F_FR_F,F_FR,"43,89","39,23"
F_FR_F01_F03,F_FR,"37,08","32,76"
F_FR_F10,F_FR,"1,47","1,4"
F_FR_F_OTH,F_FR,"5,3",5
F_FR_G20,F_FR,"8,09","7,16"
F_FR_G30,F_FR,"44,26","40,87"
F_FR_G_H,F_FR,"67,99","62,52"
F_FR_G_H_OTH,F_FR,"15,64","14,49"
F_FR_I,F_FR,"226,79","219,5"
F_FR_I20-I25,F_FR,"40,42","40,81"
F_FR_I20_I23-I25,F_FR,"22,98","22,95"
F_FR_I21_I22,F_FR,"17,44","17,86"
F_FR_I30-I51,F_FR,"89,37","83,01"
F_FR_I60-I69,F_FR,"55,24","54,75"
F_FR_I_OTH,F_FR,"41,77","40,94"
F_FR_J,F_FR,"62,62","50,2"
F_FR_J09-J11,F_FR,"3,37","0,5"
F_FR_J12-J18,F_FR,"21,24","17,08"
F_FR_J40-J44_J47,F_FR,"12,48","9,99"
F_FR_J40-J47,F_FR,"14,23","11,66"
F_FR_J45_J46,F_FR,"1,75","1,67"
F_FR_J_OTH,F_FR,"23,77","20,96"
