CODE_DIFF,FR_DESC
Y80-84,De 80 à 84 ans
Y_GE80,80 ans ou plus
Y81,81 ans
Y82,82 ans
Y83,83 ans
Y84,84 ans
Y85,85 ans
Y85-89,De 85 à 89 ans
Y_GE85,85 ans ou plus
Y86,86 ans
Y87,87 ans
Y88,88 ans
Y89,89 ans
Y90,90 ans
Y90-94,De 90 à 94 ans
Y_GE90,90 ans ou plus
Y91,91 ans
Y_GE91,91 ans ou plus
Y92,92 ans
Y93,93 ans
Y94,94 ans
Y95,95 ans
Y95-99,De 95 à 99 ans
Y_GE95,95 ans ou plus
Y96,96 ans
Y97,97 ans
Y98,98 ans
Y99,99 ans
Y_GE99,99 ans ou plus
Y100,100 ans
Y_GE100,100 ans ou plus
Y101,101 ans
Y_GE101,101 ans ou plus
Y102,102 ans
Y103,103 ans
Y104,104 ans
Y105,105 ans
Y106,106 ans
Y107,107 ans
Y108,108 ans
Y109,109 ans
Y110,110 ans
Y_GE110,110 ans ou plus
Y_OPEN,Classe d'âge ouverte
